"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"1375819","08/09/2015 08:21:20 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10010","MANHATTAN",40.7447054150017,-73.99147584427,2015,8
"1376022","08/09/2015 07:25:15 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10019","MANHATTAN",40.7661654708751,-73.9818812348795,2015,8
"1376066","08/09/2015 07:11:03 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","","MANHATTAN",NA,NA,2015,8
"1376206","08/09/2015 06:17:47 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10035","MANHATTAN",40.8032239529484,-73.9445984546022,2015,8
"1376370","08/09/2015 05:27:29 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10023","MANHATTAN",40.7805642961083,-73.9814295756995,2015,8
"1376376","08/09/2015 05:24:58 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.8061716223391,-73.9652289169567,2015,8
"1376673","08/09/2015 03:40:54 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10025","MANHATTAN",40.8029845759029,-73.9638616216505,2015,8
"1376696","08/09/2015 03:31:38 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10016","MANHATTAN",40.7512806770229,-73.9815929358806,2015,8
"1376793","08/09/2015 02:57:32 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10016","MANHATTAN",40.7422391303112,-73.9795564966008,2015,8
"1376810","08/09/2015 02:49:22 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10036","MANHATTAN",40.7604849700401,-73.9915640680195,2015,8
